Question Number,Question,Overall Chunk Relevance Score,Answer Confidence,Chunk 1 Title,Chunk 1 URL,Chunk 2 Title,Chunk 2 URL,Chunk 3 Title,Chunk 3 URL,Chunk 4 Title,Chunk 4 URL,Chunk 5 Title,Chunk 5 URL,Chunk 1 Score,Chunk 2 Score,Chunk 3 Score,Chunk 4 Score,Chunk 5 Score,Grounded Answer Summary,Gaps or Missing Information,Notes
1,How do I enable large file share support on my Azure storage account?,1.6,Low,Create an account that supports customer-managed keys for tables and queues,account-encryption-key-create.md,Create a storage account with infrastructure encryption enabled,infrastructure-encryption-enable.md,Overview of storage accounts,storage-account-overview.md,Create an Azure storage account,storage-account-create.md,Azure Storage data transfer solutions for large datasets with low or moderate network bandwidth,storage-solution-large-dataset-low-network.md,2,2,2,1,1,Only the ARM property name largeFileSharesState is grounded. No portal/CLI/PowerShell steps available. No answer can be generated.,Primary article (articles/storage/files/storage-files-how-to-create-large-file-share.md) is in the /files/ sub-tree not /common. Feature may have changed significantly — dedicated enablement toggle may no longer exist.,"largeFileSharesState ARM property appears in two template files. Data Box Disk noted as not supporting Large File Shares. Feature behavior may have changed — see prior session findings."
2,How do I sync an Azure File Share to Blob Storage using AzCopy?,2.6,Medium,Transfer data with AzCopy and file storage — Copy between storage accounts,storage-use-azcopy-files.md,Transfer data with AzCopy and file storage — Synchronize files,storage-use-azcopy-files.md,Transfer data with AzCopy and file storage — Copy a file share to another storage account,storage-use-azcopy-files.md,Transfer data with AzCopy and file storage — Get started,storage-use-azcopy-files.md,Overview of Azure Storage migration,storage-migration-overview.md,4,3,2,3,1,"azcopy sync does NOT support File→Blob. Use azcopy copy --from-to=FileBlob. No concrete end-to-end example with source/destination URLs present in workspace.","Missing concrete azcopy copy example combining a file share source URL with a blob container destination URL. For ongoing sync, Azure Storage Mover is more appropriate.","azcopy sync supports up to 10 million files per job for file share scenarios. FileBlob is documented as a valid --from-to direction for copy operations."
3,Why isn't my Logic App trigger firing for files in Azure File Share subfolders?,1.0,Low,Overview of storage accounts,storage-account-overview.md,Transfer data with AzCopy and file storage,storage-use-azcopy-files.md,Create an Azure storage account,storage-account-create.md,Azure Storage encryption for data at rest,storage-service-encryption.md,Network routing preference for Azure Storage,configure-network-routing-preference.md,1,1,1,1,1,No grounded answer can be generated. All 5 chunks are entirely unrelated to Logic Apps triggers.,Complete coverage gap. Logic Apps connector documentation (articles/connectors/) is outside this workspace. The connector's 'When a file is added or modified' trigger does not recursively monitor subfolders by default.,"Workarounds likely involve Azure Event Grid (Blob-only) or polling-based alternatives. Resolution not documentable from this workspace."
4,How do I configure customer-managed keys for Azure Files encryption?,4.4,High,Customer-managed keys for Azure Storage encryption — Overview,customer-managed-keys-overview.md,Configure customer-managed keys for an existing storage account,customer-managed-keys-configure-existing-account.md,Configure customer-managed keys for a new storage account,customer-managed-keys-configure-new-account.md,Configure customer-managed keys — Key Vault HSM,customer-managed-keys-configure-key-vault-hsm.md,Azure Storage encryption for data at rest,storage-service-encryption.md,5,5,4,4,4,"CMK for Azure Files requires a GPv2 storage account, a Key Vault or Managed HSM with soft delete and purge protection enabled, and a managed identity with wrapkey/unwrapkey/get permissions (via Key Vault Crypto Service Encryption User role). Configurable via portal, CLI, and PowerShell.",No significant gaps. Cross-tenant CMK scenarios have separate articles present in workspace.,Only question in this batch with good chunk relevance. Workspace /common sub-tree directly covers this topic.
5,How can I identify non-compliant Azure File Shares in my environment?,2.2,Low,Azure Policy built-in definitions for Azure Storage,policy-reference.md,Customer-managed keys for Azure Storage encryption,customer-managed-keys-overview.md,Azure Resource Graph sample queries for Azure Storage,resource-graph-samples.md,Security controls for Azure Policy,security-controls-policy.md,Overview of storage accounts,storage-account-overview.md,3,3,2,2,1,"Built-in Azure Policy definitions exist for Microsoft.Storage and Microsoft.StorageSync. Navigate to Azure Policy > Compliance and filter by storage resource types. Specific policy names/IDs and Resource Graph queries not present in workspace.","Missing KQL/Resource Graph queries for non-compliant file shares. Full list of built-in policy definition names and IDs not present. Content exists at /azure/governance/policy/samples/built-in-policies#storage.","Non-compliance spans multiple dimensions: CMK enforcement, soft delete, TLS 1.2, network access. Each has a separate built-in policy."
6,What are the key properties and configuration options for an Azure File Sync Storage Sync Service?,1.6,Low,Configure an expiration policy for shared access signatures,sas-expiration-policy.md,Best practices for disaster recovery with Azure Storage,storage-disaster-recovery-guidance.md,Overview of Azure Storage migration tools,storage-migration-tools.md,Overview of Azure Storage migration,storage-migration-overview.md,Configure network routing preference for Azure Storage,configure-network-routing-preference.md,2,2,1,1,2,"Only cross-cutting constraints documented: SAS expiry ≥ 3 days; no failover on cloud endpoint accounts; Microsoft routing required. No Storage Sync Service resource properties documented.","Entire articles/storage/file-sync/ sub-tree is outside this workspace. Missing: sync groups, server endpoints, cloud endpoints, cloud tiering policies, incomingTrafficPolicy, agent version management.","The three constraints found (SAS expiry, no failover, Microsoft routing) are storage account–level requirements affecting File Sync, not Storage Sync Service–specific configuration options."
7,How can I resolve file download errors in Azure File Sync related to permissions or issues with Key Vault?,1.2,Low,Customer-managed keys for Azure Storage encryption — Overview,customer-managed-keys-overview.md,Configure customer-managed keys for an existing storage account,customer-managed-keys-configure-existing-account.md,Azure Storage encryption for data at rest,storage-service-encryption.md,Best practices for disaster recovery,storage-disaster-recovery-guidance.md,Configure an expiration policy for SAS,sas-expiration-policy.md,2,1,1,1,1,"CMK permission requirements present (managed identity needs wrapkey/unwrapkey/get) but address storage account encryption, not File Sync agent download errors. No grounded answer for the specific error scenario.","Specific error codes and resolution steps are in articles/storage/file-sync/file-sync-troubleshoot-sync-errors.md — outside this workspace entirely.","Key Vault-related File Sync download failures typically stem from revoked managed identity access, soft-deleted Key Vault, or network restrictions blocking File Sync service endpoints."
8,How can I resolve file download errors in Azure File Sync when fetching the target download URI fails?,1.4,Low,Configure an expiration policy for shared access signatures,sas-expiration-policy.md,Overview of Azure Storage migration tools,storage-migration-tools.md,Best practices for disaster recovery,storage-disaster-recovery-guidance.md,Configure network routing preference for Azure Storage,configure-network-routing-preference.md,Azure Resource Graph sample queries,resource-graph-samples.md,2,1,1,2,1,SAS expiry < 3 days and Internet routing are the only grounded causes of URI/download failures. No error codes or resolution procedures present.,Specific error codes (e.g. 0x80c86066) and resolution steps are in the File Sync troubleshooting article outside this workspace.,"URI fetch failures are commonly caused by: expired SAS tokens (set expiry ≥ 3 days), incorrect network routing (use Microsoft routing), firewall rules, or a failed-over cloud endpoint storage account."
9,How can I resolve file download errors when backing up certificates with Azure File Sync?,1.0,Low,Azure Storage encryption for data at rest,storage-service-encryption.md,Customer-managed keys — Key vault requirements,customer-managed-keys-overview.md,Configure an expiration policy for SAS,sas-expiration-policy.md,Best practices for disaster recovery,storage-disaster-recovery-guidance.md,Overview of storage accounts,storage-account-overview.md,1,1,1,1,1,No grounded answer can be generated. All 5 chunks are entirely unrelated to certificate backup with File Sync.,Complete coverage gap. OS-level certificate store locking behavior and File Sync server endpoint exclusion configuration are in articles/storage/file-sync/ — outside this workspace.,"Certificate-related download errors typically occur when the agent tries to tier/recall files locked by OS certificate store protections. Resolution involves excluding certificate directories from sync via server endpoint exclusions."
10,How do I migrate from Azure File Sync to 100% cloud-based Azure Files?,1.6,Low,Overview of Azure Storage migration,storage-migration-overview.md,Overview of Azure Storage migration tools,storage-migration-tools.md,Overview of Azure Storage migration — tool selection,storage-migration-overview.md,Migration plan and strategy,storage-migration-plan-strategy.md,Best practices for disaster recovery,storage-disaster-recovery-guidance.md,2,2,2,1,1,"Migration overview articles confirm File Sync is 'primarily a sync and tiering tool.' One-time migrations are a supported use case. No decommissioning steps present in workspace.","file-sync-server-endpoint-delete.md and file-sync-storage-sync-service-delete.md are outside this workspace. Key missing step: recall all tiered files before removing server endpoints to prevent data loss.","Recommended decommissioning path: (1) disable cloud tiering and wait for full recall; (2) validate all data in Azure Files; (3) remove server endpoints; (4) delete sync groups; (5) deregister servers; (6) delete Storage Sync Service."
11,Why does identity-based access keep reverting to unconfigured on my Azure File Share?,1.2,Low,Create an Azure storage account,storage-account-create.md,Multiple identity scenarios,multiple-identity-scenarios.md,Authorize access to data in Azure Storage,authorize-data-access.md,Overview of storage accounts,storage-account-overview.md,Prevent authorization with shared key,shared-key-authorization-prevent.md,2,1,1,1,1,"Only that the 'Enable Managed Identity for SMB' option exists at creation time is grounded. No troubleshooting content for revert behavior present.","articles/storage/files/storage-files-identity-auth-*.md are outside this workspace. Known causes: storage account key rotation breaking Kerberos password; ARM/Bicep deployments overwriting azureFilesIdentityBasedAuthentication property.","Identity-based access is configured via azureFilesIdentityBasedAuthentication property. If resets occur, check whether deployments include defaultSharePermission and directoryServiceOptions in all resource updates."
